COMPONENT,LOINC_NUM
Organic acids panel,48797-5
First trimester maternal screen panel,48798-3
Second trimester penta maternal screen panel,48799-1
Second trimester quad maternal screen panel,48800-7
Alpha-1-fetoprotein panel,48802-3
Platelet aggregation panel,48805-6
Leukogram panel,48808-0
Erythrogram panel,48809-8
Protein fractions 3 panel,48811-4
Spermatozoa morphology panel,48812-2
"Respiratory allergen panel, US - North Atlantic states a",48824-7
"Respiratory allergen panel, US - Mid Atlantic states",48825-4
"Respiratory allergen panel, US - South Atlantic states a",48826-2
"Respiratory allergen panel, US - Subtropical Florida",48827-0
"Respiratory allergen panel, US - Greater Ohio valley a",48828-8
"Respiratory allergen panel, US - South central states",48829-6
"Respiratory allergen panel, US - Northern midwest states a",48830-4
"Respiratory allergen panel, US - Central midwest a",48831-2
"Respiratory allergen panel, US - Great plains states a",48832-0
"Respiratory allergen panel, US - Southwestern grassland states",48833-8
"Respiratory allergen panel, US - Rocky mountain states a",48834-6
"Respiratory allergen panel, US - Arid southwest",48835-3
"Respiratory allergen panel, US - Southern coastal California",48836-1
"Respiratory allergen panel, US - California central valley",48837-9
"Respiratory allergen panel, US - Intermountain west a",48838-7
"Respiratory allergen panel, US - Inland northwest a",48839-5
"Respiratory allergen panel, US - Cascade Pacific northwest a",48840-3
"Respiratory allergen panel, US - Alaska a",48841-1
"Respiratory allergen panel, US - North Atlantic states b",48916-1
"Respiratory allergen panel, US - South Atlantic states b",48917-9
"Respiratory allergen panel, US - NC, PA, SC, VA, WV",48918-7
"Respiratory allergen panel, US - Central Florida",48919-5
"Respiratory allergen panel, US - Southern Florida",48920-3
"Respiratory allergen panel, US - Southeast coast",48921-1
"Respiratory allergen panel, US - West south central states",48922-9
"Respiratory allergen panel, US - Greater Ohio valley b",48923-7
"Respiratory allergen panel, US - Northern midwest states b",48924-5
"Respiratory allergen panel, US - Central midwest b",48925-2
"Respiratory allergen panel, US - Great plains states b",48926-0
"Respiratory allergen panel, US - Rocky mountain states b",48927-8
"Respiratory allergen panel, US - Inland northwest b",48928-6
"Respiratory allergen panel, US - Cascade Pacific northwest b",48929-4
"Respiratory allergen panel, US - Intermountain west b",48930-2
"Respiratory allergen panel, US - AZ, Southeastern CA, Western NM",48931-0
"Respiratory allergen panel, US - Alaska b",48932-8
"Respiratory allergen panel, US - Hawaii",48933-6
"Respiratory allergen panel, US - North Atlantic states c",49017-7
"Respiratory allergen panel, US - Intermountain west c",49018-5
"Respiratory allergen panel, US - Puerto Rico",49019-3
"Respiratory allergen panel, US - Coastal California",49020-1
"Respiratory allergen panel, US - Greater Ohio valley c",49021-9
"Respiratory allergen panel, US - Northern midwest states c",49022-7
Diazepam & Nordiazepam panel,49044-1
PT & aPTT & Fibrinogen panel,49045-8
Drugs of abuse panel,49046-6
"North American Association of Central Cancer Registries, Inc (NAACCR, Inc) version 11 panel",49083-9
First & Second trimester integrated maternal screen panel,49085-4
First trimester maternal screen with nuchal translucency panel,49086-2
Maternal screen clinical predictors panel,49087-0
Arbovirus Ab.IgG & IgM panel,49093-8
Arbovirus Ab.IgG & IgM panel,49094-6
Immunodeficiency follow-up panel,49120-9
"North American Association of Central Cancer Registries, Inc (NAACCR, Inc) Pathology Laboratory Electronic Reporting panel",49143-1
Food allergen panel,49222-3
Calcidiol & Calciferol panel,49590-3
Calcium-phosphorus product panel,50676-6
HIV susceptibility panel,49660-4
HIV susceptibility panel,49665-3
Uranium.depleted panel,49670-3
2-Hydroxyestrone & 16-Alpha hydroxyestrone panel,49828-7
Hepatitis B virus resistance panel,49883-2
Lymphocyte proliferation.beryllium stimulation panel,49885-7
Fetal lung maturity panel,50009-0
Hepatitis C virus RNA panel,50023-1
Volatiles panel,50025-6
Calcitonin Calcium & Pentagastrin challenge panel,50179-1
Neonatal bilirubin panel,50189-0
Iron & Iron binding capacity panel,50190-8
Occult blood panel,50191-6
Occult blood panel,50196-5
aPTT panel,50197-3
Respiratory pathogens DNA & RNA 12a panel,50219-5
Reticulocytes panel,50262-5
Acylglycines panel,50334-2
carBAMazepine & metabolites panel,50337-5
Urinalysis microscopic panel,50554-5
Urinalysis dipstick panel,50556-0
Urinalysis panel,50564-4
Gastric analysis panel,50579-2
"Maternal screen for fetal abnormalities such as Open Neural Tube Defects, Trisomy 21 or Trisomy 18 panel",50580-0
Adenosine monophosphate.cyclic stimulation panel,50581-8
Glucose tolerance gestational panel,50582-6
Glucose screen gestational panel,50583-4
Lactose challenge panel,50584-2
Triple bolus stimulation panel,50585-9
Glucose tolerance 3H panel,50586-7
Glucose tolerance 4H panel,50587-5
Glucose tolerance 5H panel,50588-3
Glucose tolerance 6H panel,50589-1
HPA panel,50604-8
Neisseria meningitidis serogroups Ag panel,50607-1
Glucose tolerance 3H gestational panel,50608-9
Semen analysis post vasectomy panel,50677-4
Influenza virus susceptibility panel,50710-3
Serotonin release.heparin.unfractionated panel,50736-8
Serotonin release.heparin.porcine panel,50737-6
Serotonin release.heparin.low molecular weight panel,50738-4
Serotonin release.heparin.porcine & low molecular weight panel,50739-2
Environmental stressors panel,51410-9
Environmental stressors panel,51411-7
Core respiratory allergens panel,51662-5
Drugs of abuse 7 & Alcohol & Tricyclics panel,51782-1
Paraneoplastic Ab panel,43104-9
Gas panel,51973-6
Gas panel,51972-8
Gas panel,51974-4
Pharmacogenetic DNA analysis panel,51962-9
DNA marker results panel,51960-3
Individual allele results panel,51975-1
Genetic disease DNA analysis panel,51966-0
Basic metabolic panel,51990-0
Metanephrine & Normetanephrine panel,51993-4
Heavy metals panel,51992-6
Referral lab test panel,51991-8
"t(9;22)(q34.1;q11)(ABL1,BCR) transcript detection panel",52135-1
Body weight,52416-5
Medication.current,18605-6
Medication.discharge,18617-1
Name + ID,18611-4
Selection item attachment request modifier codes,29490-0
Time window attachment request modifier codes,29489-2
LOINC attachment modifier codes,29488-4
Extrinsic coagulation system with fibrinolysis inhibition thromboelastography panel,52764-8
Extrinsic coagulation system thromboelastography panel,52763-0
Intrinsic coagulation system thromboelastography panel,52762-2
Intrinsic coagulation system with heparin inhibition thromboelastography panel,52777-0
Thromboelastography without activation panel,52765-5
Continuity assessment record and evaluation tool - Expired,52747-3
Body weight^at ambulance transport,18584-3
Distance and time transported information,51996-7
Origination site information,15511-9
Destination site information,15512-7
Rationale for wait time,52004-9
Other patients information,52009-8
Receiving individual accepting responsibility for patient,52012-2
Ordering practitioner or agency,52015-5
Physician certification for transport information,52016-3
Extra attendants information,52074-2
Clinical reports.non lab claims attachment,26443-2
Nursing management minimum data set panel,52826-5
DNA marker assessed panel,53042-8
DNA marker identified panel,53044-4
Carnitine newborn screen panel,53262-2
Urinalysis microscopic panel,53293-7
Urinalysis other formed elements panel,53333-1
Urinalysis type of crystal panel,53305-9
Urinalysis type of crystal panel,53295-2
Urinalysis type of crystal panel,53325-7
Urinalysis type of cast panel,53281-2
Urinalysis type of cast panel,53277-0
Urinalysis type of non-squamous epithelial cells panel,53276-2
Urinalysis type of non-squamous epithelial cells panel,53273-9
Urinalysis type of non-squamous epithelial cells panel,53270-5
Urinalysis yeast variants panel,53267-1
Urinalysis yeast variants panel,53264-8
Urinalysis yeast variants panel,53263-0
Urinalysis microscopic panel,53315-8
Urinalysis other formed elements panel,53353-9
Urinalysis other formed elements panel,53351-3
VAP panel,53575-7
Irritable bowel disease prognostic panel,53598-9
Mycobacterium bovis tuberculin stimulated gamma interferon panel,53703-5
Myasthenia gravis evaluation pediatric panel,53705-0
Myasthenia gravis evaluation adult reflex panel,53706-8
Hyperoxaluria panel,53710-0
Cocaine panel,53747-2
Barbiturates panel,53746-4
Benzodiazepines panel,53745-6
Natural killer cell panel,53759-7
Prostate specific Ag panel,53764-7
Estrogen fraction panel,53766-2
Hepatitis A virus Ab panel,53775-3
Acetaminophen & Propoxyphene panel,53781-1
Chromium panel,53780-3
HTT gene mutation panel,53783-7
Platelets panel,53800-9
Arbovirus Ab.IgG panel,53804-1
Transferrin.carbohydrate deficient panel,53803-3
Streptococcus pneumoniae 14 serotypes & Corynebacterium diphtheriae toxin & Clostridium tetani toxin Ab.IgG panel,53932-0
HEDIS 2009 panel,54037-7
Continuity assessment record and evaluation tool - Interim,52746-5
Newborn screening panel,54089-8
Galactosemia newborn screening panel (SI units),54080-7
Thyroid newborn screening panel (SI units),54077-3
Endocrine newborn screening panel (SI units),54075-7
Organophosphonate nerve agent metabolite panel,54097-1
Newborn hearing screening panel,54111-0
US Surgeon General family health portrait,54127-6
Bacterial vaginosis & vaginitis DNA panel,54145-8
Lymphoma - T-cell screen panel,54229-0
Lymphoma - CLL screen panel,54228-2
Lymphoma - acute screen panel,54227-4
Lymphoma panel,54226-6
Immune response panel,54225-8
Cortisol challenge panel,54235-7
Cell count & Differential panel with Glucose & Protein,54230-8
Semen analysis fertility panel,54231-6
Cell count & Differential panel with Glucose & Protein,54234-0
Protein & Glucose panel,54246-4
Metabolic panel.large animal,54232-4
Metabolic panel.small animal,54233-2
Minimum Data Set - version 3.0,54580-6
Respiratory pathogens panel,55101-0
CEH metabolic toxin panel,55120-0
CEH volatile organic compounds panel,55116-8
CEH trace metals screen panel,55117-6
CEH trace metals panel,55118-4
CEH nitrogen mustard metabolite panel,55119-2
CEH abrine & ricinine panel,54932-9
Multiple sclerosis panel,55121-8
Vaccine Adverse Event Reporting System panel,55140-8
CYP2C9 & VKORC1 panel,54450-2
Arsenic fractions panel,54454-4
Adenovirus Ab.IgG & IgM panel,55160-6
Bordetella pertussis Ab.IgA & IgG panel,55161-4
Paroxysmal nocturnal panel,55164-8
HTLV I+II Ab panel,55162-2
Streptococcus pyogenes enzyme Ab panel,55163-0
Anaplasma phagocytophilum Ab.IgG & IgM panel,55150-7
Aldosterone & renin activity panel,55151-5
Amiodarone & Desethylamiodarone panel,55152-3
Biotinidase panel,55153-1
Flunitrazepam & 7-Aminoflunitrazepam panel,55155-6
Risperidone & 9-Hydroxyrisperidone panel,55157-2
Children's preventive health services attachment,39294-4
Data Elements for Emergency Department Systems (DEEDS) Release 1.0,55169-7
Data Elements for Emergency Department Systems (DEEDS) Release 1.1,55168-9
Quality Reporting Document Architecture panel,55181-2
Electrolytes panel,55231-5
Genetic analysis master panel,55233-1
Alpha thalassemia gene panel,55234-9
Abnormal hemoglobin gene panel,55235-6
Protein fractions & Immunoglobulins panel,55295-0
Diabetes tracking panel,55399-0
Short Fibrin D-dimer FEU & DDU panel,55398-2
Short myasthenia gravis panel,55397-4
Beta 2 glycoprotein 1 Ab.IgA & IgG panel,55396-6
Phospholipid Ab.IgA & IgG & IgM panel,55395-8
Short blood pressure panel,55417-0
Oxygen saturation & therapy panel,55415-4
Pedometer tracking panel,55413-9
Exercise tracking panel,55409-7
Heart failure tracking panel,55405-5
Asthma tracking panel,55403-0
West Nile virus Ab.IgG & IgM panel,55402-2
Warfarin tracking panel,55401-4
Home drug screening panel,55419-6
Weight & Height tracking panel,55418-8
Short blood count panel,55429-5
Seizure disorder tracking panel,55427-9
Protein & Glucose panel,55394-1
Continuity assessment record and evaluation tool - Post acute care - discharge,52745-7
Influenza virus A H1 2009 pandemic RNA panel,55466-7
Continuity assessment record and evaluation tool - Post acute care - admission,52744-0
Continuity assessment record and evaluation tool - Home health admission,52748-1
Continuity assessment record and evaluation tool - Acute care,52743-2
Apolipoprotein A-I & A-II & B & C panel,55724-9
Borrelia burgdorferi Ab.IgA & IgG & IgM panel,55726-4
Yersinia sp Ab.IgG & IgM panel,55728-0
Tissue transglutaminase Ab.IgA & IgG panel,55727-2
Cerebroside sulfatase & N-Acetylgalactosamine-4-Sulfatase panel,55725-6
howRu panel,55744-7
Patient health questionnaire 2 item,55757-9
PhenX - hand dominance - 12Y and older protocol 020602,56101-9
Phenx - hand dominance - 42Mo and older protocol 020601,56096-1
Child Waist Circumference Protocol,56087-0
Adult Waist Circumference Protocol,56086-2
Fungal Ab panel,56146-4
Smith extractable nuclear Ab & Ribonucleoprotein extractable nuclear Ab panel,56148-0
Beta 2 glycoprotein 1 Ab.IgA & IgG & IgM panel,56152-2
Beta 2 glycoprotein & Cardiolipin Ab & Phosphatidylserine panel,56149-8
Candida albicans Ab.IgA & IgG & IgM panel,56156-3
Urinalysis dipstick W Reflex Culture panel,57019-2
Urinalysis dipstick W Reflex Microscopic panel,57020-0
Auto Differential panel,57023-4
Complete blood count W Reflex Manual Differential panel,57022-6
Complete blood count W Auto Differential panel,57021-8
Health Quality Measure document,57024-2
Herpesviruses 6 DNA panel,57031-7
Antepartum record panel,57082-0
Labor and Delivery record panel,57083-8
Optical coherence tomography panel,57119-0
Outcome and assessment information set (OASIS) form - version C,57039-0
Outcome and assessment information set (OASIS) form - version C - Start of care,57190-1
Outcome and assessment information set (OASIS) form - version C - Resumption of Care,57191-9
Outcome and assessment information set (OASIS) form - version C - Follow-Up,57192-7
Outcome and assessment information set (OASIS) form - version C - Transfer to facility,57193-5
Outcome and assessment information set (OASIS) form - version C - Discharge from agency,57194-3
Outcome and assessment information set (OASIS) form - version C - Death at home,57459-0
Lipid panel with direct LDL,57698-3
Disaccharidases panel,57765-0
Trimipramine & Nortrimipramine panel,57767-6
Toxoplasma gondii Ab.IgG & IgM panel,57770-0
Metanephrine.free & Normetanephrine.free panel,57772-6
Colorado tick fever virus Ab.IgG & IgM panel,57774-2
Valproate.free & Valproate panel,57775-9
Myeloperoxidase Ab & Proteinase 3 panel,57777-5
Immunoglobulin light chains.free panel,57778-3
Thyroglobulin & Thyroglobulin Ab panel,57780-9
Complete blood count W Ordered Manual Differential panel,57782-5
HIV 1 RNA panel,50624-6
Fecal hydrolysis panel,57795-7
Gliadin peptide Ab.IgA & IgG panel,57776-7
Occult blood panel,57803-9
HEDIS 2010 panel,57820-3
Urinalysis complete W Reflex Culture panel,58077-9
Erythrocyte morphology panel,58408-6
Leukocyte morphology panel,58407-8
Platelet morphology panel,58406-0
Complete blood count panel,58410-2
Microalbumin panel,58431-8
Pyridinoline panel,55255-4
Casts panel,58432-6
Crystals panel,58433-4
Cells panel,58434-2
Microorganisms panel,58435-9
Microalbumin/Creatinine ratio panel,58447-4
Creatinine renal clearance adjusted for body surface area panel,58446-6
DNAse B Ab.Streptococcal & Streptolysin O Ab panel,58713-9
Testosterone free & total panel,58952-3
Meperidine & Normeperidine panel,58953-1
Coccidioides sp Ab.IgG & IgM panel,59049-7
Adulterants panel,58715-4
Testosterone.free+weakly bound & total panel,58716-2
