COMPONENT,LOINC_NUM
Chlordiazepoxide & Norchlordiazepoxide panel,79162-4
OXcarbazepine trough & 10-hydroxycarbazepine panel,79165-7
Clobazam & norclobazam panel,79408-1
Dothiepin+nordothiepin trough & dothiepin sulfoxide panel,79409-9
Mianserin trough & Normianserin panel,79412-3
Staphylococcus aureus & Methicillin-resistant Staphylococcus aureus panel,79448-7
HEDIS 2016 Value Sets,79544-3
Serial smears for diagnosing pulmonary tuberculosis panel,79424-8
Peritoneal equilibration test panel,78747-3
"Metanephrine, Normetanephrine, 3-methoxytyramine & Creatinine panel",79575-7
Riboflavin & flavin mononucleotide & flavin adenine dinucleotide panel,79573-2
Folate & tryptophan & metabolites panel,79572-4
Catecholamine metabolites panel,79499-0
PROMIS pediatric short form - emotional distress - anxiety 8b - version 1.1,77875-3
PROMIS pediatric item bank - physical function - upper extremity - version 2.0,78161-7
Purine & Pyrimidine panel,79673-0
Purine & Pyrimidine panel,79668-0
Purine & Pyrimidine panel,79665-6
R- & S-beta aminoisobutyrate & D- & L-serine panel,79583-1
Beta alanine & Beta aminoisobutyrate & Gamma aminobutyrate panel,79584-9
R- & S-beta aminoisobutyrate & D- & L-serine panel,79586-4
Beta alanine & Beta aminoisobutyrate & Gamma aminobutyrate panel,79603-7
R- & S-beta aminoisobutyrate & D- & L-serine panel,79605-2
Phenylalanine & Tyrosine panel,79621-9
Beta alanine & Beta aminoisobutyrate & Gamma aminobutyrate panel,79650-8
Prolactin isoforms panel,78993-3
Catecholamine metabolites panel,79391-9
Synovial fluid analysis panel,79399-2
Liver fibrosis score panel,78699-6
Liver fibrosis score panel,78698-8
Segmental wall motion panel,78950-3
Electroretinography panel,79894-2
Subjective refraction panel,79895-9
Tonometry panel,79896-7
Physical findings panel,79897-5
Objective refraction panel,79898-3
"Social, psychological & behavioral observations - 2015 Edition Health IT Certification Criteria set",80216-5
S-adenosylmethionine & S-adenosylhomocystine panel,80179-5
S-adenosylmethionine & S-adenosylhomocystine panel,80178-7
Pterins panel,80170-4
Pterins panel,80169-6
Pterins panel,80168-8
Bile alcohols panel,80163-9
Catheterization & angiography procedure details panel,80190-2
Catheterization & angiography procedures performed panel,78949-5
Catheterization & angiography device panel,78942-0
Assisted circulation procedures performed panel,78933-9
Coronary segment stenosis panel,78895-0
Noninvasive arteriosclerosis studies panel,77197-2
Coronary artery disease risk factor panel,78940-4
Comorbid condition panel,78923-0
Cardiovascular disease history panel,78941-2
Nursing physiologic assessment panel,80346-0
Herpes simplex virus 1 & 2 DNA panel,80354-4
Rotavirus & Adenovirus Ag panel,80376-7
Adenovirus & Norovirus & Rotavirus Ag panel,80374-2
Influenza virus A & B Ag panel,80381-7
Occupational exposure information panel,80399-9
LOINC Document Ontology associated observations panel,80582-0
Uroflowmetry panel,80525-9
Clostridium botulinum & Clostridium baratii toxins gene panel,80827-9
Pepsin A Panel,80831-1
American Urological Association Symptom Index,80883-2
International Prostate Symptom Score,80976-4
Cancer pathology panel,81186-9
Dengue & Chikungunya & Zika virus panel,81154-7
Amitriptyline & nortriptyline panel,81207-3
Amitriptyline & nortriptyline panel,81208-1
clomiPRAMINE & Norclomipramine panel,81209-9
clomiPRAMINE & Norclomipramine panel,81210-7
Amitriptyline & nortriptyline panel,81211-5
clomiPRAMINE & Norclomipramine panel,81212-3
Referral note - recommended C-CDA R2.0 & R2.1 sections,81223-0
Consultation note - recommended C-CDA R2.0 & R2.1 sections,81222-2
Transfer summary note - recommended C-CDA R2.0 sections,81221-4
Diagnostic imaging report - recommended C-CDA R2.0 & R2.1 sections,81220-6
Discharge summary - recommended C-CDA R2.0 sections,81219-8
Discharge summary - recommended C-CDA R2.1 sections,81218-0
Procedure note - recommended C-CDA R2.0 & R2.1 sections,81217-2
Progress note - recommended C-CDA R2.0 & R2.1 sections,81216-4
Care plan - recommended C-CDA R2.0 & R2.1 sections,81215-6
Continuity of Care Document - recommended C-CDA R2.0 & R2.1 sections,81214-9
Protein fractions panel,81231-3
Varicella zoster virus Ab.IgG & IgM panel,81234-7
Interval document - recommended CDP Set 1 R1.0 & R1.1 sections,81245-3
Enhanced procedure note - recommended CDP Set 1 R1.0 & R1.1 sections,81244-6
Enhanced encounter note - recommended CDP Set 1 R1.0 & R1.1 sections,81243-8
Enhanced discharge summary - recommended CDP Set 1 R1.0 sections,81242-0
Enhanced surgical operation note - recommended CDP Set 1 R1.0 & R1.1 sections,81241-2
Master HL7 genetic variant reporting panel,81247-9
Document template attachment request modifier codes,81240-4
Heparin dose response panel,81281-8
Urine collection associated observations panel,81323-8
Cryoglobulin IgA & IgG & IgM & C3 panel,81205-7
Supersaturation panel,81232-1
Differential panel,81280-0
Cell Count & Differential panel,81272-7
Fentanyl & Norfentanyl panel,81273-5
Fentanyl & Norfentanyl panel,81275-0
Fentanyl & Norfentanyl panel,81277-6
Doxepin & Nordoxepin panel,81276-8
Doxepin & Nordoxepin panel,81274-3
Meperidine & Normeperidine panel,81279-2
Meperidine & Normeperidine panel,81278-4
Glucose tolerance 2H gestational panel,81324-6
PROMIS short form - cognitive function 8a - version 2.0,81530-8
PROMIS short form - cognitive function 6a - version 2.0,81529-0
PROMIS short form - cognitive function 4a - version 2.0,81528-2
PROMIS short form - cognitive function - abilities subset 8a - version 2.0,81527-4
PROMIS short form - cognitive function - abilities subset 6a - version 2.0,81526-6
PROMIS short form - cognitive function - abilities subset 4a - version 2.0,81525-8
PROMIS item bank - cognitive function - version 2.0,81524-1
PROMIS item bank - cognitive function - abilities subset - version 2.0,81492-1
Pulmonary function test panel,81458-2
Enhanced discharge summary - recommended CDP Set 1 R1.1 sections,81615-7
Influenza virus types A & B & subtypes RNA panel,81233-9
Escherichia coli Stx1 & Stx2 toxin stx1 & stx2 genes panel,81659-5
CYP3A4 & CYP3A5 gene targeted mutation analysis panel,81642-1
Immunoglobulin light chains.free panel,81632-2
Personal advance care plan R1.0 - recommended CDA sections,81745-2
Preoperative measures for patient safety panel,81679-3
Percutaneous coronary intervention panel,78914-9
Catheterization & angiography preoperative information panel,80528-3
Lymphocyte T-cell & B-cell & Natural killer subsets panel,80721-4
T-cell naive & memory & effector (CD27 and CD45RA) subsets panel,80720-6
Lymphocyte TCR gamma delta & alpha beta subsets panel,80718-0
B-cell CD27 & IgD subsets panel,80717-2
T-cell activated (CD38+HLA-DR+) subsets panel,80716-4
Microsatellite instability marker panel,81711-4
Composite triage and nursing note - recommended IHE set,81898-9
National health care surveys report R1 - recommended CDA set,81958-1
Public health laboratory ask at order entry panel,81959-9
Phytanate & pristanate panel,81763-5
BRFSS Adverse Childhood Experience Module,82152-0
Herpes simplex virus 1 & 2 Ab.IgG panel,81621-5
Differential panel,81620-7
HIV 2 RNA panel,81246-1
Varicella zoster virus surveillance panel,81235-4
Gastrointestinal pathogens DNA & RNA panel,82195-9
Meningitis+Encephalitis pathogens panel,82180-1
Respiratory pathogens DNA & RNA panel,82159-5
Neck Disability Index,82226-2
Physical activity panel,82287-4
Metabolic equivalent of task & Resting metabolic rate panel,82259-3
Vendor device information panel,82307-0
Oncology plan of care and summary - recommended CDA R1.2 sections,82308-8
Knee injury and osteoarthritis outcome score for joint replacement,82324-5
Hip dysfunction and osteoarthritis outcome score for joint replacement,82316-1
Level 3 emergency medical services patient care report - recommended CDA R1 & R2 sections,82315-3
Ganglioside Ab panel,82455-7
Ganglioside Ab panel,82454-0
Human papilloma virus 16 & 18+45 E6+E7 mRNA panel,82457-3
Hepatitis C virus genotype & drug resistance panel,82525-7
Dengue virus 1+3 & 2+4 panel,82519-0
Borderline symptom list - behavior supplement,72718-0
Borderline symptom list - 23 item,72719-8
Cardiac nuclear imaging panel,82654-5
Wearable device external physiologic monitoring panel,82611-5
Drug Abuse Screening Test-10,82666-9
Drug Abuse Screening Test,82664-4
Asthma Control Test,82674-3
Cytokines panel,82335-1
Nurse summary note - recommended sections,82811-1
Methotrexate polyglutamates 1-5 & total panel,81630-6
Adverse Childhood Experiences,82813-7
Amyotrophic lateral sclerosis functional rating scale - revised (ALSFRS-R),82954-9
HEDIS 2017 Value Sets,82955-6
HIV 1+2 Ab & HIV1 p24 Ag panel,83101-6
Natural killer cell cytotoxicity panel,82720-4
Grip Strength Test,83145-3
4-Meter Walk Gait Speed Test,83144-6
2-Minute Walk Endurance Test,83143-8
Standing Balance Test,83142-0
9-Hole Pegboard Dexterity Test,83141-2
Self-care activities - functional ability panel,83180-0
6-Thioguanine & 6-methylmercaptopurine panel,82869-9
Campylobacter jejuni Ab.IgA & IgG & IgM panel,82845-9
Inpatient Rehabilitation Facility - Patient Assessment Instrument - version 1.4,83265-9
Patient Centered Assessment Method panel,83331-9
Picture Vocabulary Test - English,84438-1
Picture Sequence Memory Test,84437-3
Pattern Comparison Processing Speed Test,84436-5
Oral Reading Recognition Test,84435-7
List Sorting Working Memory Test,84434-0
Flanker Inhibitory Control and Attention Test,84433-2
Dimensional Change Card Sort Test,84432-4
Bone density quantitative measurement panel,83311-1
Gastrointestinal pathogens panel,82305-4
Spatial clot growth analysis panel,82799-8
Positive Affect Survey - CAT item bank - ages 18+,84799-6
Positive Affect Survey - fixed length form - ages 18+,84800-2
Positive Affect Survey version 2.0 - CAT item bank - ages 13-17,84801-0
Positive Affect Survey version 2.0 - fixed length form - ages 13-17,84910-9
Friendship Survey - fixed length form - ages 18+,84932-3
Friendship Survey version 2.0 - fixed length form - ages 8-17,84933-1
Instrumental Support Survey - fixed length form - ages 18+,84956-2
Loneliness Survey - fixed length form - ages 18+,84957-0
Loneliness Survey version 2.0 - fixed length form - ages 8-17,84958-8
General Life Satisfaction Survey - CAT item bank - ages 18+,85022-2
General Life Satisfaction Survey - fixed length form A - ages 18+,85016-4
General Life Satisfaction Survey - fixed length form B - ages 18+,85013-1
General Life Satisfaction Survey version 2.0 - CAT item bank - ages 8-12,85019-8
General Life Satisfaction Survey version 2.0 - parent report - fixed length form- ages 3-12,85009-9
Emotional Support Survey - fixed length form - ages 18+,85032-1
Cancer pathology panel,84907-5
Cancer pathology panel,84908-3
HIV 1 & 2 Ab & HIV 1 p24 Ag panel,85037-0
Staphylococcus aureus glycopeptide resistance panel,85044-6
PCORnet common data model set - version 3.0,85057-8
Emotional Support Survey version 2.0 - fixed length form - ages 8-17,85029-7
Somatotropin monitoring panel,85038-8
Maprotiline & normaprotiline panel,85088-3
Dothiepin & nordothiepin & dothiepin sulfoxide panel,85089-1
Citalopram & norcitalopram & didesmethylcitalopram panel,85090-9
Liver diseases autoimmune Ab.IgG panel,85092-5
Escitalopram & norescitalopram panel,85094-1
Meta methylhippurate & ortho methylhippurate & para methylhippurate & Creatinine panel,85097-4
Bipolar Spectrum Diagnostic Scale,85103-0
Mood Disorder Questionnaire,85102-2
Fear-Over Anxious Survey version 2.0 - parent report - fixed length form - ages 3-7,85124-6
Positive Peer Interaction Survey version 2.0 - parent report - fixed length form - ages 3-12,85109-7
Social Withdrawal Survey version 2.0 - parent report - fixed length form - ages 3-12,85112-1
Anger-Affect Survey - CAT item bank - age 18+,85105-5
Peer Rejection Survey version 2.0 - parent report - fixed length form - ages 3-12,85106-3
Positive Affect Survey version 2.0 - parent report - CAT item bank - ages 3-7,85115-4
Sadness Survey version 2.0 - parent report - fixed length form - ages 3-7,85118-8
Fear-Separation Anxiety Survey version 2.0 - parent report - fixed length form - ages 3-7,85121-2
Meaning and Purpose Survey - CAT item bank - age 18+,85146-9
Self-Efficacy Survey version 2.0 - CAT item bank - ages 8-12,85127-9
General Life Satisfaction Survey version 2.0 - CAT item bank - ages 13-17,85133-7
Sadness Survey - CAT item bank - age 18+,85140-2
Positive Affect Survey version 2.0 - fixed length form - ages 8-12,85135-2
Sadness Survey version 2.0 - fixed length form - ages 8-17,85136-0
Fear Survey version 2.0 - fixed length form - ages 8-17,85143-6
National EMS Information System - version 3 set,84428-2
Level 3 emergency medical services patient care report - recommended CDA R1 & R2 set,84429-0
"Vital signs, weight, height, head circumference, oxygen saturation & BMI panel",85353-1
Porcine epidemic diarrhea virus prototype & S INDEL strain S gene panel,85357-2
Diagnostic imaging report - example sections & entries,85430-7
Bacterial identification & susceptibility panel,85421-6
Electronic Patient Centered Assessment Method panel,85554-4
Influenza virus A & B & Respiratory syncytial virus RNA panel,85476-0
Renal replacement therapy goals panel,85597-3
Kidney failure 2Y & 5Y risk panel,85626-0
PROMIS short form - global - version 1.2,85524-7
Long-Term Care Hospital (LTCH) Continuity Assessment Record and Evaluation (CARE) Data Set (LCDS) - version 3.00,85654-2
Congenital rubella case report panel,85735-9
Rubella surveillance panel,85701-1
Porcine reproductive and respiratory syndrome virus European & North American strains Ab.Neut panel,85551-0
Porcine reproductive and respiratory syndrome virus European & North American strains Ab.IgG panel,85586-6
Bacterial carbapenem resistance genes panel,85502-3
Cancer pathology panel,85905-8
Cancer pathology panel,85904-1
Diagnostic mammogram & ultrasound panel,86359-7
Diagnostic mammogram & ultrasound panel,86349-8
Retinal nerve fiber layer panel,86291-2
Bordetella pertussis & parapertussis & holmesii DNA panel,85809-2
Mumps virus RNA & SH gene panel,85808-4
Measles virus RNA & N gene panel,85806-8
Neisseria meningitidis serogroup DNA panel,85797-9
Rubella virus E1 gene & genotype panel,85795-3
Blood pathogens panel,85762-3
Pediatric autoimmune neuropsychiatric disorder associated with streptococcus diagnosis panel,82741-0
These questions three panel,86504-8
Minimum Data Set (MDS) - version 3.0 - Resident Assessment Instrument (RAI) version 1.14.1,86521-2
Periodontal attachment - recommended CDA R1 set,86603-8
Staphylococcus aureus methicillin resistance SCCmec & mecA+mecC genes panel,86622-8
Healthcare associated infection report - recommended CDA R3 set,86535-2
U.S. standard certificate of death - recommended 2003 revision set,86345-6
U.S. standard certificate of live birth - recommended 2003 revision set,86347-2
U.S. standard report of fetal death - recommended 2003 revision set,86346-4
Family planning report - FPAR 2.0 set,86636-8
Coded cause of death - recommended CDA R1 sections,86799-4
Coded race and ethnicity - recommended CDA R1 sections,86800-0
Jurisdiction death information - recommended CDA R1 sections,86801-8
Provider death registration - recommended CDA R1 sections,86803-4
Adenovirus serotype DNA panel,85810-0
Resting metabolic rate panel,82279-1
Therapeutic goals panel,86922-2
Kansas City Cardiomyopathy Questionnaire - 12 item,86923-0
Outcome and assessment information set (OASIS) form - version C2,86905-7
"Metanephrine, Normetanephrine & Creatinine panel",86931-3
Patient Activation Measure - 13,86933-9
Patient Activation Measure - 10,86946-1
Trichomonas vaginalis & Mycoplasma genitalium DNA panel,86949-5
Borrelia afzelii+burgdorferi+garinii Ab.IgG & IgM panel,87274-7
Inpatient Rehabilitation Facility - Patient Assessment Instrument - version 1.5,87414-9
Diagnostic imaging report - recommended DICOM PS3.20 sections,87416-4
Cytolethal distending toxin B & Vinculin Ab panel,87417-2
Dengue virus 1+2+3+4 & Zika virus Ab.IgA+IgG+IgM panel,87441-2
Coccidioides immitis Ab.IgG & IgM panel,87435-4
Protein & creatinine panel,87434-7
Hemoglobin.free & oxyhemoglobin panel,87433-9
Mycophenolate & mycophenolate glucuronide panel,87432-1
Herpes simplex virus 1 & 2 DNA panel,87431-3
Cystatin C & Glomerular filtration rate by Cystatin C-based formula panel,87430-5
Cortisol AM & PM panel,87429-7
Drugs of abuse screen W Reflex confirm panel,87428-9
Neutrophil cytoplasmic Ab panel,87427-1
Inhibin A & B panel,87426-3
Cytomegalovirus Ab.IgG & IgM Panel,87424-8
Borrelia burgdorferi Ab.IgG & IgM panel,87423-0
Long-Term Care Hospital (LTCH) Continuity Assessment Record and Evaluation (CARE) Data Set (LCDS) - version 4.00,87505-4
Chronic kidney disease management personal goals panel,87533-6
Challenges for treatment plan maintenance panel,87534-4
Chlorinated hydrocarbon panel,87669-8
Carbamate panel,87670-6
Parent Patient Activation Measure - 13,87675-5
Parent Patient Activation Measure - 10,87689-6
Caregiver Patient Activation Measure - 13,87703-5
Caregiver Patient Activation Measure - 10,87704-3
HEDIS 2018 Value Sets,87625-0
National Trauma Data Standard - version 2018 set,87825-6
Protein S Ag & protein S Ag.free panel,87557-5
Thyroglobulin & thyroperoxidase Ab panel,87556-7
Sjogrens syndrome-A & B extractable nuclear Ab.IgG panel,87555-9
Epstein Barr virus Ab panel,87554-2
Aspergillus fumigatus & Saccharopolyspora rectivirgula & Thermoactinomyces vulgaris Ab.IgG panel,87553-4
IgA & IgA subclass 1 & IgA subclass 2 panel,87552-6
Neutrophil cytoplasmic Ab.IgG & Saccharomyces cerevisiae Ab.IgA & IgG,87551-8
Haloperidol & haloperidol.reduced panel,87550-0
"1,25-Dihydroxyvitamin D & 1,25-Dihydroxyvitamin D2 & 1,25-Dihydroxyvitamin D3 panel",87549-2
Anaplasma phagocytophilum & Ehrlichia sp groEL gene panel,87548-4
Borrelia burgdorferi Ab & Anaplasma phagocytophilum & Babesia microti & Ehrlichia chaffeensis Ab.IgG panel,87547-6
Dengue virus Ab.IgG & IgM panel,87546-8
Beta-N-acetylhexosaminidase.A & beta-N-acetylhexosaminidase with reflex to HEXA gene panel,87543-5
Beta-N-acetylhexosaminidase.A & beta-N-acetylhexosaminidase panel,87544-3
Beta-N-acetylhexosaminidase.A & beta-N-acetylhexosaminidase panel,87545-0
Tobacco use panel,88028-6
Organophosphate panel,88032-8
Respiratory pathogens panel,87964-3
Bacterial susceptibility panel,87927-0
Escherichia coli gene panel,88116-9
Escherichia coli enterotoxigenic gene panel,88125-0
Hunger Vital Sign,88121-9
Ebola & Marburg virus RNA panel,88186-2
Chronic kidney disease education panel,88240-7
Respiratory pathogens panel,88137-5
Respiratory pathogens panel,88129-2
Acute & chronic leukemia fusion transcript per control transcript panel,72104-3
Gram positive blood culture panel,88262-1
Gram negative blood culture panel,88260-5
Minimum Data Set (MDS) - version 3.0 - Resident Assessment Instrument (RAI) version 1.15.1,88278-7
Inpatient Rehabilitation Facility - Patient Assessment Instrument - version 2.0,88329-8
Microscopic exam panel,88345-4
Outcome and assessment information set (OASIS) form - version D,88372-8
Chemotherapy infusion start & stop date and time panel,88374-4
International Physical Activity Questionnaire self-administered long form,88379-3
International Physical Activity Questionnaire telephone short form,88412-2
International Physical Activity Questionnaire telephone long form,88434-6
Blood pressure with exercise & post exercise panel,88346-2
California encephalitis virus Ab.IgG & IgM panel,88455-1
Mumps virus Ab.IgG & IgM panel,88458-5
Seattle Angina Questionnaire - 7 items,88479-1
Babesia microti & divergens+MO-1 strain & duncani 18S rRNA gene panel,88461-9
Ocular pathogens panel,88569-9
Influenza virus A & B RNA panel,88601-0
German Interdisciplinary Association of Intensive Care and Emergency Care Medicine - recommended MIND protocol set,88677-0
Systemic sclerosis panel,88702-6
Babesia microti Ab.IgG & IgM panel,88728-1
Norovirus genogroups I & II RNA panel,88701-8
Procainamide & N-acetylprocainamide panel,88699-4
Electrolytes & Osmolality panel,88697-8
Protein fractions panel,88698-6
Toxoplasma gondii Ab.IgG & IgM panel,88746-3
Coccidioides immitis Ab.IgG & IgM panel,88745-5
Microbiology CNAMTS panel,88836-2
Microbiology CNAMTS panel,88837-0
Microbiology CNAMTS panel,88838-8
Microbiology CNAMTS panel,88839-6
Microbiology CNAMTS panel,88840-4
Microbiology CNAMTS panel,88841-2
Microbiology CNAMTS panel,88842-0
Microbiology CNAMTS panel,88844-6
Microbiology CNAMTS panel,88845-3
Urinary cell count CNAMTS panel,88846-1
Microbiology CNAMTS panel,88847-9
Microbiology CNAMTS panel,88848-7
Microbiology CNAMTS panel,88849-5
Microbiology CNAMTS panel,88850-3
PROMIS item bank - applied cognition - abilities subset - version 1.0,88852-9
Hematopoietic stem cell transplantation risk panel,88861-0
Microbiology CNAMTS panel,88864-4
Veterinary toxicology panel,88869-3
Veterinary toxicology panel,88868-5
Minimum Data Set (MDS) - version 3.0 - Resident Assessment Instrument (RAI) version 1.16.1,88956-8
Clinical disease activity index,75842-5
Pure tone threshold audiometry panel,89015-2
Basic metabolic & albumin panel,89044-2
ADAPTABLE patient reported item set,89070-7
Everyday Cognition - Participant Self Report Form,89133-3
Everyday Cognition - Study Partner Report Form,89090-5
Beck Depression Inventory Fast Screen,89211-7
Beck Depression Inventory II,89210-9
Patient Health Questionnaire-9: Modified for Teens,89206-7
Center for Epidemiologic Studies Depression Scale-Revised,89207-5
Performance status panel,89244-8
Performance status panel,89246-3
Special circumstances associated observations panel,89263-8
Lung cancer antibody panel,88863-6
Zika virus non-structural protein 1 Ab.IgM panel,89368-5
HIV 1 & 2 Ab panel,89365-1
Timed Up and Go test & physical findings of gait panel,89422-0
Rose Dyspnea Scale panel,89440-2
Mycobacterial susceptibility panel,89486-5
Laboratory ask at order entry panel,89543-3
Fatty acid omega-3 & omega-6 panel,88884-2
Metabolic panel.dialysis patient,88843-8
Wells pulmonary embolism risk calculator panel,89546-6
Revised Geneva Score panel,89549-0
Pulmonary Embolism Rule-out Criteria panel,89544-1
Mycobacterium tuberculosis complex DNA & rpoB gene rifAMPin resistance mutation panel,89371-9
Comprehensive Universal Behavior Health Screen,89556-5
Connective tissue autoimmune Ab panel,88883-4
Exercise Vital Sign (EVS),89574-8
Troponin I.cardiac panel,89577-1
Troponin T.cardiac panel,89576-3
PROMIS cancer item bank - physical function - version 1.1,89689-4
PROMIS cancer item bank - emotional distress - anxiety - version 1.0,89679-5
PROMIS cancer item bank - fatigue - version 1.0,89677-9
PROMIS cancer item bank - pain interference - version 1.1,89674-6
PROMIS cancer item bank - emotional distress - depression - version 1.0,89670-4
PROMIS item bank - physical function w mobility aids - version 1.0,79062-6
PROMIS short form - physical function w mobility aids - version 1.0,79063-4
Pulmonary Embolism Severity Index panel,89694-4
Patient-Oriented Eczema Measure,89862-7
Mycobacterium tuberculosis complex rifAMPin & isoniazid resistance panel,89876-7
Chronic Respiratory Questionnaire Self-Administered Individualized Format,89906-2
Chronic Respiratory Questionnaire Self-Administered Standardized Format,89905-4
Minimum Data Set (MDS) for Public Health Emergency Operations Centers (EOC),89724-9
PROMIS item bank - anger - version 1.1,89920-3
PROMIS item bank - pain interference - version 1.1,89923-7
PROMIS pediatric item bank - pain interference - version 2.0,89935-1
PROMIS parent proxy item bank - pain interference - version 2.0,89949-2
Inpatient Rehabilitation Facility - Patient Assessment Instrument - version 3.0,89963-3
Psoriasis care satisfaction questionnaire,90018-3
Routine Assessment of Patient Index Data 3,90028-2
Health assessment questionnaire,71950-0
PROMIS parent proxy item bank - cognitive function - version 1.0,90170-2
PROMIS pediatric item bank - cognitive function - version 1.0,90217-1
Clinically Useful Depression Outcome Scale,90222-1
Histoplasma capsulatum H & M Ab panel,90227-0
Myeloperoxidase Ab.IgG & Proteinase 3 Ab.IgG Panel,90230-4
Extractable nuclear antigen Ab.IgG panel,90228-8
Herpes simplex virus 1 & 2 Ab.IgG & IgM panel,90229-6
Coagulation factor VII activity & inhibitor panel,90225-4
Nicotine & Cotinine panel,90226-2
Thymoma & myasthenia gravis antibody panel,90231-2
Thyroxine & Thyroxine.free panel,90224-7
Bartonella henselae & Bartonella quintana Ab.IgG & IgM panel,90251-0
Measles virus Ab.IgG & IgM panel,90253-6
Measles virus Ab.IgG & IgM panel,90254-4
Vanillylmandelate & Homovanillate panel,90250-2
Rickettsia spotted fever group Ab.IgG & IgM panel,90260-1
Fracture Risk Assessment,90264-3
PROMIS item bank - dyspnea functional limitations - version 1.0,90409-4
T-cell regulatory subsets panel,90413-6
B-cell phenotyping panel,90414-4
B-cell TACI & BAFF-R subsets panel,90415-1
Lymphocyte subset & B-cell phenotyping panel,90416-9
Transferrin.carbohydrate deficient & Apolipoprotein CIII panel,90417-7
Microorganism preliminary growth detection panel,90425-0
Microorganism preliminary growth detection panel,90424-3
Microorganism preliminary growth detection panel,90423-5
"Minimum Data Set (MDS) - version 3.0 - Resident Assessment Instrument (RAI) version 1.17.1, 1.17.2",90472-2
Polysomnography panel,90568-7
PROMIS parent proxy item bank - life satisfaction - version 1.0,90615-6
PROMIS pediatric item bank - life satisfaction - version 1.0,90616-4
PROMIS pediatric item bank - peer relationships - version 2.0,90706-3
PROMIS parent proxy item bank - mobility - version 2.0,90704-8
PROMIS parent proxy item bank - peer relationships - version 2.0,90679-2
PROMIS item bank - applied cognitive - general concerns - version 1.0,90761-8
HEDIS 2019 Value Sets,90766-7
Youth Risk Behavior Survey - body weight panel,90744-4
Paroxysmal nocturnal hemoglobinuria GPI-Linked WBC & RBC Ag Panel,90735-2
Duke Anxiety Depression Scale,90854-1
PROMIS pediatric item bank - mobility - version 2.0,90883-0
PROMIS parent proxy short form - cognitive function 7a - version 1.0,90934-1
PROMIS parent proxy short form - life satisfaction 4a - version 1.0,90936-6
PROMIS parent proxy short form - life satisfaction 8a - version 1.0,90938-2
PROMIS parent proxy short form - mobility 8a - version 2.0,90940-8
PROMIS parent proxy short form - pain interference 8a - version 2.0,90942-4
PROMIS parent proxy short form - peer relationship 7a - version 2.0,90944-0
PROMIS pediatric short form - cognitive function 7a - version 1.0,90933-3
PROMIS pediatric short form - depressive symptoms 8a - version 2.0,90949-9
PROMIS pediatric short form - life satisfaction 4a - version 1.0,90951-5
PROMIS pediatric short form - life satisfaction 8a - version 1.0,90953-1
PROMIS pediatric short form - mobility 8a - version 2.0,90955-6
PROMIS pediatric short form - pain interference 8a - version 2.0,90957-2
PROMIS pediatric short form - peer relationships 8a - version 2.0,90959-8
PROMIS short form - applied cognition - general concerns 4a - version 1.0,90961-4
PROMIS short form - applied cognition - general concerns 6a - version 1.0,90963-0
PROMIS short form - applied cognition - general concerns 8a - version 1.0,90965-5
PROMIS short form - dyspnea functional limitations 10a - version 1.0,90967-1
PROMIS short form - emotional distress - anger 5a - version 1.1,90969-7
PROMIS short form - pain interference 4a - version 1.0,90971-3
PROMIS short form - pain interference 6a - version 1.0,90973-9
Pressure Injury Scale for Healing Tool 3.0,90982-0
Drugs of abuse panel,91056-2
Drugs of abuse panel,91055-4
Drugs of abuse panel,91054-7
Protein electrophoresis & monoclonal protein isotype panel,90991-1
Monoclonal gammopathy panel,90992-9
Iothalamate clearance panel,90993-7
Benzodiazepines panel,90890-5
Borrelia sp panel,90892-1
Sexually transmitted pathogens panel,91134-7
Platelet function with adenosine diphosphate induction panel,91124-8
Thiopurine methyltransferase activity panel,91139-6
Brucella sp Ab.IgG & IgM panel,91140-4
"Pain intensity, Enjoyment of life, General activity scale",91148-7
Lipoprotein metabolism panel,91136-2
Vedolizumab & Vedolizumab Ab Panel,90794-9
Levothyroxine absorption panel,90795-6
Influenza virus A & B RNA panel,90455-7
Influenza virus A & B RNA panel,90456-5
Influenza virus A & B RNA panel,90457-3
Chlamydia trachomatis & Neisseria gonorrhoeae rRNA panel,90357-5
Chlamydia trachomatis & Neisseria gonorrhoeae rRNA panel,90358-3
Cystinuria panel,90785-7
Cystinuria panel,90784-0
Fatty acid omega-3 & omega-6 panel,90918-4
Bordetella pertussis & Bordetella parapertussis DNA panel,90441-7
Atypical pneumonia pathogens panel,90439-1
Liver cancer antibodies & Alpha-1-Fetoprotein panel,90293-2
Transfer summary note - recommended C-CDA R2.1 sections,81614-0
PROMIS parent proxy item bank - physical activity - version 1.0,91215-4
PROMIS pediatric item bank - physical activity - version 1.0,91228-7
PROMIS parent proxy item bank - positive affect - version 1.0,91307-9
STarT Back Screening Tool panel,91349-1
PROMIS pediatric item bank - positive affect - version 1.0,91355-8
PROMIS parent proxy item bank - psychological stress experiences - version 1.0,91367-3
PROMIS pediatric item bank - psychological stress experiences - version 1.0,91324-4
Opioid risk tool panel,91393-9
PROMIS parent proxy item bank - strength impact - version 1.0,91338-4
PROMIS pediatric item bank - strength impact - version 1.0,91512-4
PROMIS parent proxy item bank - asthma impact - version 2.0,91426-7
PROMIS parent proxy item bank - depressive symptoms - version 2.0,91407-7
PROMIS pediatric item bank - physical stress experiences - version 1.0,91452-3
